text,ade,term_PT
sudden onset of extreme weakness and fatigue. i got up one morning and could barely walk across the room. i stopped taking the drug and the symptoms disappeared.,could barely walk across the room,gait disturbance
sudden onset of extreme weakness and fatigue. i got up one morning and could barely walk across the room. i stopped taking the drug and the symptoms disappeared.,fatigue,fatigue
sudden onset of extreme weakness and fatigue. i got up one morning and could barely walk across the room. i stopped taking the drug and the symptoms disappeared.,extreme weakness,asthenia
dizzy. lowered the cholesterol.,dizzy,dizziness
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",tired all the time,fatigue
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",intense and constant pain in legs,pain
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",intense and constant pain in arms,pain
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",intense and constant pain in arms,pain in extremity
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",loss of sexual desire,libido decreased
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",leg pain,pain in extremity
"intense and constant pain in my legs and arms. legs were also very painful to the touch. pain relievers didn't help. i was tired all the time, couldn't sleep, loss of sexual desire. my dr sent me to a rheumatologist as he suspected that i had lupus. within 2 days of stopping the lipitor, my symptoms began to subside. the leg pain is gone, i have lots of energy and i can sleep again. what a concept!!. it did significantly and quickly lower my cholesterol numbers, but they would immediately go back up as soon as i went off of it. i eat steel-cut oats every day and using natural products like red yeast rice, lecithin granules & garlic.",intense and constant pain in legs,pain in extremity
